0.014495 0 0 0 0 0 0
2.4063e-09 0.28916 -0.2973 -0.050822 0.10211 0.14667 0.0026154
3.5479e-08 -0.71203 0.09535 0.042398 -0.01956 -0.14095 -0.00080308
4.3522e-08 0.99266 0.13145 -9.4581e-06 -0.017814 0.11894 -5.3892e-06
4.6774e-09 0.50543 -1.3231 -0.040128 0.09522 0.043375 -0.0014283
1.3836e-05 -3.1959 4.2155 0.054007 -0.042768 -0.029443 0.0010793
5.3198e-10 0.99253 0.12894 0.00020617 -0.013619 0.11893 0.0001222
7.8704e-13 0.50549 -1.3231 -0.040153 0.092717 0.051334 0.00049678
1.3117e-12 0.5053 -1.3232 -0.040073 0.097205 0.038488 -0.002846
6.4858e-10 -3.1959 4.2126 0.053907 0.027189 -0.027944 0.0021956
3.498e-10 -3.1997 4.2179 0.054065 -0.072994 -0.076302 -0.0013941
1.0799e-09 -3.2031 4.216 0.053934 -0.046006 -0.073202 -0.00061273
7.8405e-10 -3.1836 4.2136 0.054116 -0.037936 0.0035893 0.0021966
